"ano_campeonato","data","rodada","estadio","publico","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante"
2023,"2023-11-30",36,"Allianz Parque",29717,"Palmeiras","América-MG","Abel Ferreira","Diogo Giacomini",1,20,8600,715,27.3,29.3,4,0,2,0
2023,"2023-11-05",32,"Arena Barueri",17301,"Palmeiras","Athletico-PR","Abel Ferreira","Wesley Carvalho",2,7,6850,2930,27.9,27.3,1,0,1,0
2023,"2023-07-02",13,"Arena Pantanal",13477,"Cuiabá-MT","Santos","Toni Oliveira","Paulo Turra",13,14,608,3065,28.8,27.3,3,0,0,0
2023,"2023-08-07",18,"Arena Pantanal",33091,"Cuiabá-MT","Flamengo","Toni Oliveira","Jorge Sampaoli",8,2,920,7750,29.2,27.3,3,0,0,0
2023,"2023-09-30",25,"Arena Pantanal",8358,"Cuiabá-MT","Fluminense","Toni Oliveira","Fernando Diniz",11,6,780,2395,29.3,28.9,3,0,0,0
2023,"2023-10-15",26,"Arena Pantanal",12100,"Cuiabá-MT","Cruzeiro","Toni Oliveira","Zé Ricardo",11,13,658,2235,29.2,29.2,0,0,0,0
2023,"2023-12-07",38,"Arena Pantanal",9689,"Cuiabá-MT","Athletico-PR","Toni Oliveira","Wesley Carvalho",12,8,923,2965,29.4,26.4,3,0,2,0
2023,"2023-06-25",12,"Estádio Governador Magalhães Pinto",17478,"Cruzeiro","São Paulo","Pepa","Dorival Júnior",12,11,2020,2950,27.8,28.1,1,0,1,0
2023,"2023-07-16",15,"Estádio Governador Magalhães Pinto",22123,"Cruzeiro","Coritiba FC","Pepa","Thiago Kosloski",10,19,1640,1800,27.6,25.8,0,0,0,0
2023,"2023-08-06",18,"Estádio Governador Magalhães Pinto",44759,"Cruzeiro","Botafogo","Pepa","Bruno Lage",11,1,2090,2580,28.8,30.3,0,0,0,0
2023,"2023-09-03",22,"Estádio Governador Magalhães Pinto",29417,"Cruzeiro","RB Bragantino","Fernando Seabra","Pedro Caixinha",13,6,2105,4080,28.5,25.2,0,0,0,0
2023,"2023-10-26",29,"Estádio Governador Magalhães Pinto",36104,"Cruzeiro","EC Bahia","Zé Ricardo","Rogério Ceni",13,15,2305,2335,29.1,27.9,3,0,1,0
2023,"2023-04-16",1,"Estádio Alfredo Jaconi ",13997,"Grêmio","Santos","Renato Portaluppi","Odair Hellmann",9,17,2470,3880,28,26.1,1,0,1,0
2023,"2023-11-12",34,"Arena Barueri",19358,"Palmeiras","Internacional","Abel Ferreira","Eduardo Coudet",1,13,7550,4950,28.3,28.2,3,0,1,0
2023,"2023-04-16",1,"Estádio Jornalista Mário Filho",42848,"Flamengo","Coritiba FC","Mário Jorge","Toni Oliveira",2,19,7965,1800,26.5,28.3,3,0,1,0
2023,"2023-05-11",5,"Estádio Jornalista Mário Filho",44948,"Flamengo","Goiás","Jorge Sampaoli","Émerson Ávila",12,18,7860,710,26.1,28.3,2,0,1,0
2023,"2023-05-21",7,"Estádio Jornalista Mário Filho",64871,"Flamengo","Corinthians","Jorge Sampaoli","Vanderlei Luxemburgo",6,18,9015,5670,26.1,26.9,1,0,0,0
2023,"2023-06-11",10,"Estádio Jornalista Mário Filho",62967,"Flamengo","Grêmio","Jorge Sampaoli","Renato Portaluppi",3,6,8420,2730,27.8,27.9,3,0,1,0
2023,"2023-07-01",13,"Estádio Jornalista Mário Filho",64853,"Flamengo","Fortaleza","Jorge Sampaoli","Juan Pablo Vojvoda",3,11,8560,1485,26.8,30.2,2,0,1,0
2023,"2023-08-26",21,"Estádio Jornalista Mário Filho",58892,"Flamengo","Internacional","Jorge Sampaoli","Eduardo Coudet",4,14,7900,2030,26.9,28.8,0,0,0,0
2023,"2023-09-30",25,"Estádio Jornalista Mário Filho",46472,"Flamengo","EC Bahia","Mário Jorge","Rogério Ceni",5,18,7900,2435,27.8,29.1,1,0,0,0
2023,"2023-10-22",28,"Estádio Jornalista Mário Filho",69473,"Flamengo","Vasco da Gama","Tite","Ramón Díaz",3,17,9300,2740,27.4,28.2,1,0,0,0
2023,"2023-11-24",30,"Estádio Jornalista Mário Filho",57699,"Flamengo","RB Bragantino","Tite","Pedro Caixinha",3,4,10300,3890,27.1,26.7,1,0,0,0
2023,"2023-11-09",33,"Estádio Jornalista Mário Filho",64590,"Flamengo","Palmeiras","Tite","Abel Ferreira",4,3,10300,8300,27.3,27.9,3,0,2,0
2023,"2023-08-20",20,"Estádio Jornalista Mário Filho",53540,"Vasco da Gama","Atlético-MG","Ramón Díaz","Luiz Felipe Scolari",18,11,2910,4220,27.2,29.8,1,0,1,0
2023,"2023-04-15",1,"Allianz Parque",35835,"Palmeiras","Cuiabá-MT","Abel Ferreira","Ivo Vieira",4,15,8420,593,26.8,29.6,2,1,1,1
